Advance to Go (Collect $200) | Advance
Advance to Illinois Avenue | Advance
Advance to St. Charles Place | Advance
Advance to the nearest Utility. If unowned, you may buy it from the Bank. If owned, throw dice and pay owner a total ten times the amount thrown | Advance
Advance to the nearest Railroad and pay the owner twice the rental to which they are otherwise entitled. If Railroad is unowned, you may buy it from the Bank | Advance
Bank pays you a dividend of $50 | Gain
Get out of Jail Free (This card may be kept until needed or sold) | GOOJFC
Go Back 3 Spaces | Advance
Go to Jail. Go directly to Jail. Do not pass Go, do not collect $200 | Jail
Make general repairs on all your property: For each house pay $25, For each hotel pay $100 | Loss
Pay poor tax of $15 | Loss
Take a trip to Reading Railroad. If you pass Go, collect $200 | Advance
Take a walk on the Boardwalk. Advance token to Boardwalk | Advance
You have been elected Chairman of the Board. Pay each player $50 | Loss
Your building and loan matures. Collect $150 | Gain
You have won a crossword competition. Collect $100 | Gain
